,맥주정보,검색이름,맥주이름,인덱스,편의점
69,"mintzmeet(457)
🇺🇸Seattle, United States
2.7September 3, 2015
Dry slightly bigger finish. Nice wetness on the tongue. Not too complex, could this be a dark lager? Tastes kind of like a bland stout that’s…
Show more
Aroma
6
Appearance
3
Flavor
4
Mouthfeel
2
Overall
12",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
70,"ALLOVATE(3,534)
🇦🇺Perth, Australia
2.5August 29, 2015
Radiant, deepest ruby with an off-white, drabby foam atop that laces well. Sulphury, eggy fart ensued by notes of boiled cabbage with just a…
Show more
Aroma
3
Appearance
3
Flavor
5
Mouthfeel
3
Overall
11",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
71,"Rex_Remes(556)
🇭🇺Bonyhad, Hungary
2.9July 8, 2015
Appearance: Tan foam, clingy. Dark beer. Nose: Some malt, sweetness, jam. Taste: a bit light and watery. Coffee and toast. PalateL smooth, dry,…
Show more
Aroma
6
Appearance
3
Flavor
5
Mouthfeel
3
Overall
12",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
72,"YantarCoast(3,141)
🇷🇺Moscow, Russia
2.4May 28, 2015
330ml can. Pours dark brown with a beige head. Roasted malts aroma. Taste is roasted malts and brown sugar. Very light and similar to regular…
Show more
Aroma
4
Appearance
2
Flavor
5
Mouthfeel
2
Overall
11",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
73,"TedE(2,324)
🇦🇺Glen Innes, Australia
2.3May 17, 2015
334ml bottle into glass. Dark ruby red beer with thin tan head. Slight slight malt nose. Watery flat mouthfeel with mild sweet nutty finish.…
Show more
Aroma
3
Appearance
4
Flavor
4
Mouthfeel
2
Overall
10",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
74,"Ngejo(1,000)
🇮🇩Jakarta, Indonesia
2.1April 27, 2015
Bottle. Black, minimal head, white foam, lightly bitter, light sweetness, light body, thin feel, average carbonation, & astringent finish.
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
3
Overall
7",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
75,"RafeAU(628)
🇺🇸Los Angeles, United States
2.3April 13, 2015
on tap In Osaka. Little of the desired subtle dark flavours you should find in a schwarzbier. pretty ordinary. only slightly more flavour than the…
Show more
Aroma
4
Appearance
3
Flavor
5
Mouthfeel
3
Overall
8",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
76,"evergreen0199(4,681)
🇬🇧Northwood, England
3.0April 6, 2015
Can from Yamaya, Hitachinaka, Ibaraki, Japan. A dark brown/black coloured pour with a medium off white/beige head on top. Roasty, malty,…
Show more
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
12",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
77,"Jado(805)
🇦🇺Camp Hill, Australia
2.5November 14, 2014
From 330 ml bottle. Pours a dark cola brown with a sudsy tan head that dissipates pretty quickly. Aromas of raisins, caramel and citrus but all…
Show more
Aroma
4
Appearance
3
Flavor
5
Mouthfeel
2
Overall
11",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
78,"GIJOE(1,269)
🇺🇸North Berwick, United States
2.8October 10, 2014
Pours quite dark, almost black, with a reddish glow against the light. Frothy pale tan head that lasts a few minutes. Nose is roasted malt and a…
Show more
Aroma
6
Appearance
3
Flavor
5
Mouthfeel
3
Overall
11",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
